,0,1
1,default,1.4059702723355848e-05
2,1.0,1.8150336595239237e-05
3,2.0,1.7666043695291773e-05
4,3.0,9.710244076120734e-06
5,4.0,1.1803498695670903e-05
6,5.0,1.8115153298829653e-05
7,6.0,1.3428785757833136e-05
8,7.0,9.330644715731352e-06
9,8.0,9.405863367452757e-06
10,9.0,2.1317424680703302e-05
11,10.0,1.2250900543234638e-05
12,11.0,1.3857240021745583e-05
13,12.0,1.8028445888886405e-05
14,13.0,1.5338688992732053e-05
15,14.0,1.5794473707139925e-05
16,15.0,1.9148948674573397e-05
17,16.0,1.3394225881003274e-05
18,17.0,2.2085465320966217e-05
19,18.0,1.826241443910409e-05
20,19.0,1.0309679157296036e-05
21,20.0,1.4768864130910157e-05
22,21.0,1.4208381054031604e-05
23,22.0,1.4833482396707397e-05
24,23.0,8.258902840323884e-06
25,24.0,1.0006265966375948e-05
26,25.0,1.1611118147967268e-05
27,26.0,1.8941425063601437e-05
28,27.0,1.6959129933016357e-05
29,28.0,1.2769748130170816e-05
30,29.0,2.343520595159653e-05
31,30.0,8.906562190863814e-06
32,31.0,1.3971264068828304e-05
33,32.0,1.2209239858305013e-05
34,33.0,1.0890488393613494e-05
35,34.0,1.981262578481852e-05
36,35.0,1.0235540941411344e-05
37,36.0,1.2488850717265324e-05
38,37.0,1.6808441651772746e-05
39,38.0,1.1197871234260322e-05
40,39.0,1.616371163070036e-05
41,40.0,1.5107669355549592e-05
42,41.0,1.5122870622696529e-05
43,42.0,1.6886264638645115e-05
44,43.0,2.1584823413551304e-05
45,44.0,1.3986210977937513e-05
46,45.0,1.4208258264384867e-05
47,46.0,2.0170739596727552e-05
48,47.0,1.9325559239297004e-05
49,48.0,1.3474893079961351e-05
50,49.0,1.4054527609271576e-05
51,50.0,1.3861447084737069e-05
52,51.0,1.4123224828570917e-05
53,52.0,9.934957321163468e-06
54,53.0,1.1479952988078452e-05
55,54.0,7.489341443773417e-06
56,55.0,1.19715215889393e-05
57,56.0,1.7801175010447443e-05
58,57.0,2.028438027356398e-05
59,58.0,1.069220245574619e-05
60,59.0,2.0416032399044655e-05
61,60.0,8.253868904256455e-06
62,61.0,1.4950381654157324e-05
63,62.0,1.4923567946930104e-05
64,63.0,9.482487346059458e-06
65,64.0,1.5903696476793813e-05
66,65.0,1.670778916610998e-05
67,66.0,1.3083427093287677e-05
68,67.0,2.0156459433307877e-05
69,68.0,1.8145886567638544e-05
70,69.0,1.244656745124954e-05
71,70.0,8.657041024529048e-06
72,71.0,1.3258718950614722e-05
73,72.0,1.3284301168254755e-05
74,73.0,1.5909559873463372e-05
75,74.0,1.033799336973834e-05
76,75.0,1.6029595125783416e-05
77,76.0,1.2170602718013704e-05
78,77.0,1.0806055761215086e-05
79,78.0,1.5120607465036346e-05
80,79.0,1.5595006453042804e-05
81,80.0,1.3261519575491003e-05
82,81.0,1.0484365551800964e-05
83,82.0,1.4417582469092187e-05
84,83.0,1.4871776158702166e-05
85,84.0,1.061942248665068e-05
86,85.0,1.5835734470457692e-05
87,86.0,1.3805565192322942e-05
88,87.0,1.7143385042425195e-05
89,88.0,1.733861415785166e-05
90,89.0,1.4073772227651964e-05
91,90.0,9.687644050620746e-06
92,91.0,1.7955506879215006e-05
93,92.0,1.4600313240940104e-05
94,93.0,1.3024306825866803e-05
95,94.0,1.6607433844254676e-05
96,95.0,2.7901432561173064e-05
97,96.0,1.146099897003064e-05
98,97.0,1.3045272465100693e-05
99,98.0,1.263296091192762e-05
100,99.0,1.5442062388888017e-05
101,100.0,6.812208824805585e-06
102,101.0,1.0405148568394349e-05
103,102.0,1.8602991877091944e-05
104,103.0,1.689982148666891e-05
105,104.0,2.2907956183691605e-05
106,105.0,9.33860974418433e-06
107,106.0,1.2930366341872509e-05
108,107.0,1.6520338837640255e-05
109,108.0,2.2412414038583354e-05
110,109.0,1.6894530059720333e-05
111,110.0,1.1930415663962308e-05
112,111.0,1.3813513790906252e-05
113,112.0,1.594105899156925e-05
114,113.0,1.7605662315144672e-05
115,114.0,2.1462571469362743e-05
116,115.0,2.1886755648710024e-05
117,116.0,1.0987369565168065e-05
118,117.0,1.5035337565910426e-05
119,118.0,1.0223775094989614e-05
120,119.0,1.795651661746804e-05
121,120.0,1.7657947461918187e-05
122,121.0,1.4019633311750284e-05
123,122.0,1.5159570598728452e-05
124,123.0,1.5828317697170825e-05
125,124.0,1.5466039262733666e-05
126,125.0,9.828978890563602e-06
127,126.0,1.6985471429078067e-05
128,127.0,9.387398778452464e-06
129,128.0,1.1460025279634018e-05
130,129.0,1.3443630987370494e-05
131,130.0,7.580336702755177e-06
132,131.0,3.3389185669175186e-05
133,132.0,2.4748143771476177e-05
134,133.0,1.1907167588242464e-05
135,134.0,1.446843771622075e-05
136,135.0,1.699674104914367e-05
137,136.0,1.7239768141787084e-05
138,137.0,1.262735140330072e-05
139,138.0,8.780719153992044e-06
140,139.0,1.402464678928606e-05
141,140.0,8.865030799486187e-06
142,141.0,9.692217789638825e-06
143,142.0,1.3482961379881203e-05
144,143.0,1.6400250063542754e-05
145,144.0,2.9397879987916327e-05
146,145.0,1.6255894990090247e-05
147,146.0,1.76883501304287e-05
148,147.0,1.3527180677951158e-05
149,148.0,8.734211911320861e-06
150,149.0,1.3883933325939614e-05
151,150.0,1.337293137861342e-05
152,151.0,8.289676133649406e-06
153,152.0,2.0615624621597265e-05
154,153.0,2.4178852979644265e-05
155,154.0,7.48692231952231e-06
156,155.0,2.382060663176735e-05
157,156.0,1.7980713419537134e-05
158,157.0,1.196782735854744e-05
159,158.0,1.6971459459252194e-05
160,159.0,1.3965587934569616e-05
161,160.0,1.1606132763779747e-05
162,161.0,1.2856489662343049e-05
163,162.0,1.1730549838441077e-05
164,163.0,1.526183132850308e-05
165,164.0,6.218190637010707e-06
166,165.0,1.411563279172435e-05
167,166.0,1.769925156620381e-05
168,167.0,1.548790070344683e-05
